ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
8896	BUD31 homolog(BUD31)	Homo sapiens				GO:0000398~mRNA splicing, via spliceosome,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:2000825~positive regulation of androgen receptor activity,	GO:0000790~nuclear chromatin,GO:0005634~nucleus,GO:0005681~spliceosomal complex,	GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0030374~ligand-dependent nuclear receptor transcription coactivator activity,GO:0035257~nuclear hormone receptor binding,	IPR001748:G10 protein,IPR018230:BUD31/G10-related, conserved site,	hsa03040:Spliceosome,				3D-structure,Acetylation,Alternative splicing,Complete proteome,Nucleus,Proteomics identification,Reference proteome,	chain:Protein BUD31 homolog,modified residue,sequence conflict,short sequence motif:Nuclear localization signal,
58191	C-X-C motif chemokine ligand 16(CXCL16)	Homo sapiens				GO:0006898~receptor-mediated endocytosis,GO:0006935~chemotaxis,GO:0010818~T cell chemotaxis,GO:0030307~positive regulation of cell growth,GO:0030335~positive regulation of cell migration,GO:0034097~response to cytokine,GO:0034341~response to interferon-gamma,GO:0034612~response to tumor necrosis factor,GO:0071222~cellular response to lipopolysaccharide,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0005041~low-density lipoprotein receptor activity,GO:0005044~scavenger receptor activity,GO:0008009~chemokine activity,	IPR026296:CXC chemokine 16,	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,				Cell membrane,Chemotaxis,Complete proteome,Cytokine,Disulfide bond,Glycoprotein,Membrane,Polymorphism,Proteomics identification,Reference proteome,Secreted,Signal,Transmembrane,Transmembrane helix,	chain:C-X-C motif chemokine 16,disulfide bond,glycosylation site:N-linked (GlcNAc...),region of interest:Chemokine,sequence conflict,sequence variant,signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
404665	CACTIN antisense RNA 1(CACTIN-AS1)	Homo sapiens												Complete proteome,Reference proteome,	chain:Putative uncharacterized protein C19orf29OS,compositionally biased region:Val-rich,
57524	CASK interacting protein 1(CASKIN1)	Homo sapiens				GO:0007165~signal transduction,	GO:0005737~cytoplasm,	GO:0005515~protein binding,	IPR001452:Src homology-3 domain,IPR001660:Sterile alpha motif domain,IPR002110:Ankyrin repeat,IPR011511:Variant SH3,IPR013761:Sterile alpha motif/pointed domain,IPR020683:Ankyrin repeat-containing domain,IPR027013:Caskin,				SM00248:ANK,SM00326:SH3,SM00454:SAM,	3D-structure,ANK repeat,Complete proteome,Cytoplasm,Methylation,Phosphoprotein,Reference proteome,Repeat,SH3 domain,	chain:Caskin-1,compositionally biased region:Pro-rich,domain:SAM 1,domain:SAM 2,domain:SH3,modified residue,region of interest:CASK-binding,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,sequence conflict,
1052	CCAAT/enhancer binding protein delta(CEBPD)	Homo sapiens				GO:0002244~hematopoietic progenitor cell differentiation,GO:0006351~transcription, DNA-templated,GO:0006366~transcription from RNA polymerase II promoter,GO:0045444~fat cell differentiation,GO:0045669~positive regulation of osteoblast differentiation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048839~inner ear development,	GO:0005634~nucleus,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0042803~protein homodimerization activity,GO:0046982~protein heterodimerization activity,	IPR004827:Basic-leucine zipper domain,IPR016468:CCAAT/enhancer-binding,			PIRSF005879:CCAAT/enhancer-binding protein,	SM00338:BRLZ,	Acetylation,Activator,Complete proteome,DNA-binding,Isopeptide bond,Nucleus,Polymorphism,Reference proteome,Transcription,Transcription regulation,Ubl conjugation,	chain:CCAAT/enhancer-binding protein delta,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO),DNA-binding region:Basic motif,domain:Leucine-zipper,mutagenesis site,sequence conflict,sequence variant,
10225	CD96 molecule(CD96)	Homo sapiens			Translation, ribosomal structure and biogenesis,	GO:0002534~cytokine production involved in inflammatory response,GO:0002728~negative regulation of natural killer cell cytokine production,GO:0006955~immune response,GO:0007155~cell adhesion,GO:0007160~cell-matrix adhesion,GO:0032496~response to lipopolysaccharide,GO:0032689~negative regulation of interferon-gamma production,GO:0050776~regulation of immune response,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005912~adherens junction,GO:0016021~integral component of membrane,		IPR003599:Immunoglobulin subtype,IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,		211750~C syndrome,		SM00409:IG,	Alternative splicing,Cell adhesion,Chromosomal rearrangement,Complete proteome,Craniosynostosis,Disease mutation,Disulfide bond,Glycoprotein,Immunoglobulin domain,Membrane,Polymorphism,Proteomics identification,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,	chain:T-cell surface protein tactile,compositionally biased region:Pro-rich,compositionally biased region:Pro/Ser/Thr-rich,disulfide bond,domain:Ig-like C2-type,domain:Ig-like V-type 1,domain:Ig-like V-type 2,glycosylation site:N-linked (GlcNAc...),sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
284106	CDGSH iron sulfur domain 3(CISD3)	Homo sapiens					GO:0005739~mitochondrion,	GO:0046872~metal ion binding,GO:0051537~2 iron, 2 sulfur cluster binding,	IPR018967:Iron sulphur-containing domain, CDGSH-type,				SM00704:ZnF_CDGSH,	2Fe-2S,Acetylation,Complete proteome,Iron,Iron-sulfur,Metal-binding,Mitochondrion,Reference proteome,Transit peptide,	chain:CDGSH iron sulfur domain-containing protein 3, mitochondrial,metal ion-binding site:Iron-sulfur 1 (2Fe-2S),metal ion-binding site:Iron-sulfur 1 (2Fe-2S); via pros nitrogen,metal ion-binding site:Iron-sulfur 2 (2Fe-2S),metal ion-binding site:Iron-sulfur 2 (2Fe-2S); via pros nitrogen,modified residue,transit peptide:Mitochondrion,
1399	CRK like proto-oncogene, adaptor protein(CRKL)	Homo sapiens		h_gleevecPathway:Inhibition of Cellular Proliferation by Gleevec,h_il2rbPathway:IL-2 Receptor Beta Chain in T cell Activation,h_integrinPathway:Integrin Signaling Pathway,h_metPathway:Signaling of Hepatocyte Growth Factor Receptor,h_pyk2Pathway:Links between Pyk2 and Map Kinases,		GO:0000186~activation of MAPKK activity,GO:0001568~blood vessel development,GO:0007254~JNK cascade,GO:0007265~Ras protein signal transduction,GO:0007507~heart development,GO:0008284~positive regulation of cell proliferation,GO:0009887~organ morphogenesis,GO:0009952~anterior/posterior pattern specification,GO:0035556~intracellular signal transduction,GO:0048538~thymus development,GO:0060017~parathyroid gland development,GO:0098609~cell-cell adhesion,GO:1900026~positive regulation of substrate adhesion-dependent cell spreading,	GO:0005768~endosome,GO:0005829~cytosol,GO:0005913~cell-cell adherens junction,GO:0070062~extracellular exosome,	GO:0004871~signal transducer activity,GO:0005070~SH3/SH2 adaptor activity,GO:0005515~protein binding,GO:0044822~poly(A) RNA binding,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR000980:SH2 domain,IPR001452:Src homology-3 domain,IPR011511:Variant SH3,	hsa04010:MAPK signaling pathway,hsa04012:ErbB signaling pathway,hsa04015:Rap1 signaling pathway,hsa04062:Chemokine signaling pathway,hsa04510:Focal adhesion,hsa04666:Fc gamma R-mediated phagocytosis,hsa04722:Neurotrophin signaling pathway,hsa04810:Regulation of actin cytoskeleton,hsa04910:Insulin signaling pathway,hsa05100:Bacterial invasion of epithelial cells,hsa05131:Shigellosis,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05211:Renal cell carcinoma,hsa05220:Chronic myeloid leukemia,			SM00252:SH2,SM00326:SH3,	3D-structure,Complete proteome,Phosphoprotein,Reference proteome,Repeat,SH2 domain,SH3 domain,	chain:Crk-like protein,domain:SH2,domain:SH3 1,domain:SH3 2,helix,modified residue,strand,
55152	DALR anticodon binding domain containing 3(DALRD3)	Homo sapiens				GO:0006418~tRNA aminoacylation for protein translation,GO:0006420~arginyl-tRNA aminoacylation,		GO:0004812~aminoacyl-tRNA ligase activity,GO:0004814~arginine-tRNA ligase activity,GO:0005515~protein binding,GO:0005524~ATP binding,	IPR008909:DALR anticodon binding,IPR009080:Aminoacyl-tRNA synthetase, class 1a, anticodon-binding,				SM00836:SM00836,	Alternative splicing,Complete proteome,Polymorphism,Proteomics identification,Reference proteome,	chain:DALR anticodon-binding domain-containing protein 3,sequence conflict,sequence variant,splice variant,
55760	DEAH-box helicase 32 (putative)(DHX32)	Homo sapiens			DNA replication, recombination, and repair,	GO:0000398~mRNA splicing, via spliceosome,	GO:0005681~spliceosomal complex,GO:0005737~cytoplasm,GO:0005739~mitochondrion,	GO:0004004~ATP-dependent RNA helicase activity,GO:0004386~helicase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0044822~poly(A) RNA binding,	IPR007502:Helicase-associated domain,IPR011709:Domain of unknown function DUF1605,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,				SM00847:SM00847,	Acetylation,Alternative splicing,ATP-binding,Complete proteome,Helicase,Hydrolase,Mitochondrion,Nucleotide-binding,Nucleus,Polymorphism,Proteomics identification,Reference proteome,	chain:Putative pre-mRNA-splicing factor ATP- dependent RNA helicase DHX32,domain:Helicase ATP-binding,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,short sequence motif:DEAH box,splice variant,
10311	DSCR3 arrestin fold containing(DSCR3)	Homo sapiens				GO:0006886~intracellular protein transport,	GO:0005634~nucleus,GO:0005768~endosome,	GO:0008565~protein transporter activity,	IPR014756:Immunoglobulin E-set,					Alternative splicing,Complete proteome,Proteomics identification,Reference proteome,	chain:Down syndrome critical region protein 3,modified residue,
2067	ERCC excision repair 1, endonuclease non-catalytic subunit(ERCC1)	Homo sapiens				GO:0000710~meiotic mismatch repair,GO:0000720~pyrimidine dimer repair by nucleotide-excision repair,GO:0001302~replicative cell aging,GO:0006281~DNA repair,GO:0006283~transcription-coupled nucleotide-excision repair,GO:0006289~nucleotide-excision repair,GO:0006293~nucleotide-excision repair, preincision complex stabilization,GO:0006295~nucleotide-excision repair, DNA incision, 3'-to lesion,GO:0006296~nucleotide-excision repair, DNA incision, 5'-to lesion,GO:0006302~double-strand break repair,GO:0006310~DNA recombination,GO:0006312~mitotic recombination,GO:0006949~syncytium formation,GO:0006979~response to oxidative stress,GO:0007283~spermatogenesis,GO:0007584~response to nutrient,GO:0008283~cell proliferation,GO:0008584~male gonad development,GO:0009650~UV protection,GO:0009744~response to sucrose,GO:0010165~response to X-ray,GO:0010259~multicellular organism aging,GO:0032205~negative regulation of telomere maintenance,GO:0033683~nucleotide-excision repair, DNA incision,GO:0035166~post-embryonic hemopoiesis,GO:0035264~multicellular organism growth,GO:0036297~interstrand cross-link repair,GO:0045190~isotype switching,GO:0048477~oogenesis,GO:0048568~embryonic organ development,GO:0070911~global genome nucleotide-excision repair,GO:0070914~UV-damage excision repair,GO:0090656~t-circle formation,GO:1904431~positive regulation of t-circle formation,	GO:0000109~nucleotide-excision repair complex,GO:0000110~nucleotide-excision repair factor 1 complex,GO:0000784~nuclear chromosome, telomeric region,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005669~transcription factor TFIID complex,GO:0005737~cytoplasm,GO:0070522~ERCC4-ERCC1 complex,	GO:0000014~single-stranded DNA endodeoxyribonuclease activity,GO:0001094~TFIID-class transcription factor binding,GO:0003684~damaged DNA binding,GO:0003697~single-stranded DNA binding,GO:0004519~endonuclease activity,GO:0005515~protein binding,GO:0008022~protein C-terminus binding,GO:0019904~protein domain specific binding,GO:0043566~structure-specific DNA binding,	IPR004579:DNA repair protein rad10,IPR010994:RuvA domain 2-like,IPR011335:Restriction endonuclease  type II-like,	hsa03420:Nucleotide excision repair,hsa03460:Fanconi anemia pathway,	610758~Cerebrooculofacioskeletal syndrome 4,			3D-structure,Acetylation,Alternative splicing,Cataract,Complete proteome,Cytoplasm,DNA damage,DNA repair,DNA-binding,Endonuclease,Hydrolase,Nuclease,Nucleus,Polymorphism,Proteomics identification,Reference proteome,	chain:DNA excision repair protein ERCC-1,helix,sequence variant,short sequence motif:Nuclear localization signal,strand,
692224	FBXO22 antisense RNA 1(FBXO22-AS1)	Homo sapiens													chain:F-box only protein 22,domain:F-box,modified residue,sequence conflict,splice variant,
2175	Fanconi anemia complementation group A(FANCA)	Homo sapiens		h_atrbrcaPathway:Role of BRCA1,  BRCA2 and ATR in Cancer Susceptibility,h_bard1Pathway:BRCA1-dependent Ub-ligase activity,		GO:0006281~DNA repair,GO:0006461~protein complex assembly,GO:0007140~male meiosis,GO:0008584~male gonad development,GO:0008585~female gonad development,GO:0036297~interstrand cross-link repair,GO:0042127~regulation of cell proliferation,GO:0045589~regulation of regulatory T cell differentiation,GO:0050727~regulation of inflammatory response,GO:0051090~regulation of sequence-specific DNA binding transcription factor activity,GO:2000348~regulation of CD40 signaling pathway,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0043240~Fanconi anaemia nuclear complex,	GO:0005515~protein binding,	IPR003516:Fanconi anaemia group A protein,	hsa03460:Fanconi anemia pathway,	227650~Fanconi anemia, complementation group A,			Alternative splicing,Complete proteome,Cytoplasm,Disease mutation,DNA damage,DNA repair,Fanconi anemia,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Signal,	chain:Fanconi anemia group A protein,modified residue,sequence variant,short sequence motif:Nuclear localization signal,splice variant,
55215	Fanconi anemia complementation group I(FANCI)	Homo sapiens				GO:0006281~DNA repair,GO:0007095~mitotic G2 DNA damage checkpoint,GO:0031398~positive regulation of protein ubiquitination,GO:0036297~interstrand cross-link repair,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016020~membrane,	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0070182~DNA polymerase binding,	IPR026171:Fanconi anemia group I protein,	hsa03460:Fanconi anemia pathway,	609053~Fanconi anemia, complementation group I,			Alternative splicing,Cell cycle,Complete proteome,Direct protein sequencing,Disease mutation,DNA damage,DNA repair,DNA-binding,Fanconi anemia,Isopeptide bond,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Ubl conjugation,	chain:Fanconi anemia group I protein,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),modified residue,sequence conflict,sequence variant,splice variant,
